title,time,authors,link
Analyzing AWS Cost and Usage Reports with Looker and Amazon Athena,2017-08-17T11:33:56+00:00,['Dillon Morrison'],https://aws.amazon.com/blogs/big-data/analyzing-aws-cost-and-usage-reports-with-looker-and-amazon-athena/
"Harmonize, Query, and Visualize Data from Various Providers using AWS Glue, Amazon Athena, and Amazon QuickSight",2017-08-16T13:17:57+00:00,['Ben Snively'],https://aws.amazon.com/blogs/big-data/harmonize-query-and-visualize-data-from-various-providers-using-aws-glue-amazon-athena-and-amazon-quicksight/
Upsert into Amazon Redshift using AWS Glue and SneaQL,2017-08-14T10:41:59+00:00,"['Jeremy Winters', 'Ritu Mishra']",https://aws.amazon.com/blogs/big-data/upsert-into-amazon-redshift-using-aws-glue-and-sneaql/
"Deploy a Data Warehouse Quickly with Amazon Redshift, Amazon RDS for PostgreSQL and Tableau Server",2017-08-10T09:06:18+00:00,['Jorge A. Lopez'],https://aws.amazon.com/blogs/big-data/deploy-a-data-warehouse-quickly-with-amazon-redshift-amazon-rds-for-postgresql-and-tableau-server/
Building a Real World Evidence Platform on AWS,2017-08-09T09:44:15+00:00,['Aaron Friedman'],https://aws.amazon.com/blogs/big-data/building-a-real-world-evidence-platform-on-aws/
Turbocharge your Apache Hive Queries on Amazon EMR using LLAP,2017-08-04T10:29:07+00:00,['Jigar Mistry'],https://aws.amazon.com/blogs/big-data/turbocharge-your-apache-hive-queries-on-amazon-emr-using-llap/
"Amazon QuickSight Now Supports Amazon Athena in EU (Ireland), Count Distinct, and Week Aggregation",2017-07-31T14:23:23+00:00,['Luis Wang'],https://aws.amazon.com/blogs/big-data/amazon-quicksight-now-supports-amazon-athena-in-eu-ireland-count-distinct-and-week-aggregation/
AWS CloudFormation Supports Amazon Kinesis Analytics Applications,2017-07-28T11:01:48+00:00,"['Ryan Nienhuis', 'Chris Marshall', 'Nehal Mehta']",https://aws.amazon.com/blogs/big-data/aws-cloudformation-supports-amazon-kinesis-analytics-applications/
Run Common Data Science Packages on Anaconda and Oozie with Amazon EMR,2017-07-27T10:32:02+00:00,['John Ohle'],https://aws.amazon.com/blogs/big-data/run-common-data-science-packages-on-anaconda-and-oozie-with-amazon-emr/
New AWS Training: Building a Serverless Data Lake,2017-07-26T11:20:55+00:00,['Sara Houston'],https://aws.amazon.com/blogs/big-data/new-aws-training-building-a-serverless-data-lake/
Amazon Redshift Spectrum Extends Data Warehousing Out to Exabytes\xe2\x80\x94No Loading Required,2017-07-21T10:18:05+00:00,['Maor Kleider'],https://aws.amazon.com/blogs/big-data/amazon-redshift-spectrum-extends-data-warehousing-out-to-exabytes-no-loading-required/
Setting up Read Replica Clusters with HBase on Amazon S3,2017-07-19T14:49:31+00:00,"['Tony Nguyen', 'Zach York']",https://aws.amazon.com/blogs/big-data/setting-up-read-replica-clusters-with-hbase-on-amazon-s3/
Analyze OpenFDA Data in R with Amazon S3 and Amazon Athena,2017-07-14T07:50:16+00:00,"['Ryan Hood', 'Vikram Anand', 'David Rocamora']",https://aws.amazon.com/blogs/big-data/analyze-openfda-data-in-r-with-amazon-s3-and-amazon-athena/
Perform Near Real-time Analytics on Streaming Data with Amazon Kinesis and Amazon Elasticsearch Service,2017-07-06T19:27:19+00:00,['Tristan Li'],https://aws.amazon.com/blogs/big-data/perform-near-real-time-analytics-on-streaming-data-with-amazon-kinesis-and-amazon-elasticsearch-service/
Visualize Amazon S3 Analytics Data with Amazon QuickSight,2017-07-06T15:41:34+00:00,['Luis Wang'],https://aws.amazon.com/blogs/big-data/visualize-amazon-s3-analytics-data-with-amazon-quicksight/
Under the Hood of Server-Side Encryption for Amazon Kinesis Streams,2017-07-06T11:59:09+00:00,['Damian Wylie'],https://aws.amazon.com/blogs/big-data/under-the-hood-of-server-side-encryption-for-amazon-kinesis-streams/
Analysis of Top-N DynamoDB Objects using Amazon Athena and Amazon QuickSight,2017-06-30T15:25:12+00:00,['Rendy Oka'],https://aws.amazon.com/blogs/big-data/analysis-of-top-n-dynamodb-objects-using-amazon-athena-and-amazon-quicksight/
Twelve Best Practices for Amazon Redshift Spectrum,2017-06-24T17:07:50+00:00,"['Po Hong', 'Peter Dalton']",https://aws.amazon.com/blogs/big-data/10-best-practices-for-amazon-redshift-spectrum/
Visualize and Monitor Amazon EC2 Events with Amazon CloudWatch Events and Amazon Kinesis Firehose,2017-06-16T11:45:49+00:00,['Pubali Sen'],https://aws.amazon.com/blogs/big-data/visualize-and-monitor-amazon-ec2-events-with-amazon-cloudwatch-events-and-amazon-kinesis-firehose/
Analyze Database Audit Logs for Security and Compliance Using Amazon Redshift Spectrum,2017-06-09T13:03:06+00:00,"['Sandeep Kariro', 'Ian Meyers']",https://aws.amazon.com/blogs/big-data/analyze-database-audit-logs-for-security-and-compliance-using-amazon-redshift-spectrum/
Seven Tips for Using S3DistCp on Amazon EMR to Move Data Efficiently Between HDFS and Amazon S3,2017-06-02T09:41:54+00:00,['Illya Yalovyy'],https://aws.amazon.com/blogs/big-data/seven-tips-for-using-s3distcp-on-amazon-emr-to-move-data-efficiently-between-hdfs-and-amazon-s3/
Amazon QuickSight Adds Support for Amazon Redshift Spectrum,2017-06-01T15:05:49+00:00,['Luis Wang'],https://aws.amazon.com/blogs/big-data/amazon-quicksight-adds-support-for-amazon-redshift-spectrum/
New AWS Certification Specialty Exam for Big Data,2017-05-30T12:51:11+00:00,['Sara Houston'],https://aws.amazon.com/blogs/big-data/new-aws-certification-specialty-exam-for-big-data/
"Build a Serverless Architecture to Analyze Amazon CloudFront Access Logs Using AWS Lambda, Amazon Athena, and Amazon Kinesis Analytics",2017-05-26T16:11:09+00:00,"['Rajeev Srinivasan', 'Chris Geisel', 'Sai Sriparasa']",https://aws.amazon.com/blogs/big-data/build-a-serverless-architecture-to-analyze-amazon-cloudfront-access-logs-using-aws-lambda-amazon-athena-and-amazon-kinesis-analytics/
Amazon QuickSight Now Supports Federated Single Sign-On Using SAML 2.0,2017-05-25T14:52:28+00:00,['Jose Kunnackal'],https://aws.amazon.com/blogs/big-data/amazon-quicksight-now-supports-federated-single-sign-on-using-saml-2-0/
Build a Visualization and Monitoring Dashboard for IoT Data with Amazon Kinesis Analytics and Amazon QuickSight,2017-05-17T10:01:33+00:00,['Karan Desai'],https://aws.amazon.com/blogs/big-data/build-a-visualization-and-monitoring-dashboard-for-iot-data-with-amazon-kinesis-analytics-and-amazon-quicksight/
"Build a Healthcare Data Warehouse Using Amazon EMR, Amazon Redshift, AWS Lambda, and OMOP",2017-05-12T13:38:05+00:00,['Ryan Hood'],https://aws.amazon.com/blogs/big-data/build-a-healthcare-data-warehouse-using-amazon-emr-amazon-redshift-aws-lambda-and-omop/
Test Your Streaming Data Solution with the New Amazon Kinesis Data Generator,2017-05-10T11:45:47+00:00,['Allan MacInnis'],https://aws.amazon.com/blogs/big-data/test-your-streaming-data-solution-with-the-new-amazon-kinesis-data-generator/
AWS Big Data Blog Month in Review: April 2017,2017-05-08T12:26:06+00:00,['Derek Young'],https://aws.amazon.com/blogs/big-data/aws-big-data-blog-month-in-review-april-2017/
Tips for Migrating to Apache HBase on Amazon S3 from HDFS,2017-05-05T12:05:26+00:00,['Bruno Faria'],https://aws.amazon.com/blogs/big-data/tips-for-migrating-to-apache-hbase-on-amazon-s3-from-hdfs/
"Visualize Big Data with Amazon QuickSight, Presto, and Apache Spark on Amazon EMR",2017-05-03T14:33:56+00:00,['Luis Wang'],https://aws.amazon.com/blogs/big-data/visualize-big-data-with-amazon-quicksight-presto-and-apache-spark-on-amazon-emr/
Near Zero Downtime Migration from MySQL to DynamoDB,2017-04-28T14:44:06+00:00,['YongSeong Lee'],https://aws.amazon.com/blogs/big-data/near-zero-downtime-migration-from-mysql-to-dynamodb/
Amazon QuickSight Now Supports Audit Logging with AWS CloudTrail,2017-04-28T13:47:06+00:00,['Jose Kunnackal'],https://aws.amazon.com/blogs/big-data/amazon-quicksight-now-supports-audit-logging-with-cloudtrail/
Manage Query Workloads with Query Monitoring Rules in Amazon Redshift,2017-04-24T15:10:38+00:00,"['Suresh Akena', 'Gaurav Saxena']",https://aws.amazon.com/blogs/big-data/manage-query-workloads-with-query-monitoring-rules-in-amazon-redshift/
Build a Real-time Stream Processing Pipeline with Apache Flink on AWS,2017-04-21T10:05:22+00:00,['Steffen Hausmann'],https://aws.amazon.com/blogs/big-data/build-a-real-time-stream-processing-pipeline-with-apache-flink-on-aws/
Querying OpenStreetMap with Amazon Athena,2017-04-14T09:17:09+00:00,['Seth Fitzsimmons'],https://aws.amazon.com/blogs/big-data/querying-openstreetmap-with-amazon-athena/
Securely Analyze Data from Another AWS Account with EMRFS,2017-04-07T11:45:36+00:00,['Jigar Mistry'],https://aws.amazon.com/blogs/big-data/securely-analyze-data-from-another-aws-account-with-emrfs/
AWS Big Data Blog Month in Review: March 2017,2017-04-07T09:23:33+00:00,['Derek Young'],https://aws.amazon.com/blogs/big-data/aws-big-data-blog-month-in-review-march-2017/
"Amazon QuickSight Spring Announcement: KPI Charts, Export to CSV, AD Connector, and More!",2017-04-06T12:53:11+00:00,['Jose Kunnackal'],https://aws.amazon.com/blogs/big-data/amazon-quicksight-spring-announcement-kpi-charts-export-to-csv-ad-connector-and-more/
Meet the Amazon EMR Team this Friday at a Tech Talk & Networking Event in Mountain View,2017-04-05T09:57:55+00:00,['Jonathan Fritz'],https://aws.amazon.com/blogs/big-data/meet-the-amazon-emr-team-this-friday-at-a-tech-talk-networking-event-in-mountain-view/
Encrypt and Decrypt Amazon Kinesis Records Using AWS KMS,2017-03-31T13:54:27+00:00,['Temitayo Olajide'],https://aws.amazon.com/blogs/big-data/encrypt-and-decrypt-amazon-kinesis-records-using-aws-kms/
Big Data Resources on the AWS Knowledge Center,2017-03-31T08:01:29+00:00,['Valerie Boyle'],https://aws.amazon.com/blogs/big-data/big-data-resources-on-the-aws-knowledge-center/
Top 10 Performance Tuning Tips for Amazon Athena,2017-03-24T11:37:55+00:00,"['Manjeet Chayel', 'Mert Hocanin']",https://aws.amazon.com/blogs/big-data/top-10-performance-tuning-tips-for-amazon-athena/
Running R on Amazon Athena,2017-03-17T12:36:42+00:00,['Gopal Wunnava'],https://aws.amazon.com/blogs/big-data/running-r-on-amazon-athena/
Amazon Redshift Monitoring Now Supports End User Queries and Canaries,2017-03-15T12:48:40+00:00,['Ian Meyers'],https://aws.amazon.com/blogs/big-data/amazon-redshift-advance-monitoring-now-supports-end-user-queries-and-canaries/
Month in Review: February 2017,2017-03-14T08:47:25+00:00,['Derek Young'],https://aws.amazon.com/blogs/big-data/month-in-review-february-2017/
"Join us next week at Strata + Hadoop World in San Jose, CA",2017-03-10T14:10:09+00:00,['Jorge A. Lopez'],https://aws.amazon.com/blogs/big-data/join-us-next-week-at-strata-hadoop-world-in-san-jose-ca/
"Analyzing VPC Flow Logs with Amazon Kinesis Firehose, Amazon Athena, and Amazon QuickSight",2017-03-09T12:06:49+00:00,"['Ian Robinson', 'Ben Snively']",https://aws.amazon.com/blogs/big-data/analyzing-vpc-flow-logs-with-amazon-kinesis-firehose-amazon-athena-and-amazon-quicksight/
Big Updates to the Big Data on AWS Training Course!,2017-03-08T11:24:54+00:00,['Sara Houston'],https://aws.amazon.com/blogs/big-data/big-updates-to-the-big-data-on-aws-training-course/
"Analyze Security, Compliance, and Operational Activity Using AWS CloudTrail and Amazon Athena",2017-03-02T13:48:39+00:00,"['Sai Sriparasa', ""Bob O\\'Dell""]",https://aws.amazon.com/blogs/big-data/aws-cloudtrail-and-amazon-athena-dive-deep-to-analyze-security-compliance-and-operational-activity/
"Harmonize, Search, and Analyze Loosely Coupled Datasets on AWS",2017-02-24T09:52:05+00:00,"['Ryan Jancaitis', 'Oliver Atoa', 'Bob Strahan']",https://aws.amazon.com/blogs/big-data/harmonize-search-and-analyze-loosely-coupled-datasets-on-aws/
Create Tables in Amazon Athena from Nested JSON and Mappings Using JSONSerDe,2017-02-16T11:57:36+00:00,['Rick Wiggins'],https://aws.amazon.com/blogs/big-data/create-tables-in-amazon-athena-from-nested-json-and-mappings-using-jsonserde/
AWS Big Data is Coming to HIMSS!,2017-02-14T12:56:53+00:00,['Christopher Crosbie'],https://aws.amazon.com/blogs/big-data/aws-big-data-is-coming-to-himss/
Migrate External Table Definitions from a Hive Metastore to Amazon Athena,2017-02-07T11:08:09+00:00,['Neil Mukerje'],https://aws.amazon.com/blogs/big-data/migrate-external-table-definitions-from-a-hive-metastore-to-amazon-athena/
Implement Serverless Log Analytics Using Amazon Kinesis Analytics,2017-02-03T11:05:02+00:00,['Nehal Mehta'],https://aws.amazon.com/blogs/big-data/implement-serverless-log-analytics-using-amazon-kinesis-analytics/
Month in Review: January 2017,2017-02-01T16:07:10+00:00,['Derek Young'],https://aws.amazon.com/blogs/big-data/month-in-review-january-2017/
Secure Amazon EMR with Encryption,2017-01-31T16:08:41+00:00,['Sai Sriparasa'],https://aws.amazon.com/blogs/big-data/secure-amazon-emr-with-encryption/
Run Mixed Workloads with Amazon Redshift Workload Management,2017-01-25T14:04:53+00:00,['Suresh Akena'],https://aws.amazon.com/blogs/big-data/run-mixed-workloads-with-amazon-redshift-workload-management/
Converging Data Silos to Amazon Redshift Using AWS DMS,2017-01-18T15:23:43+00:00,['Pratim Das'],https://aws.amazon.com/blogs/big-data/converging-data-silos-to-amazon-redshift-using-aws-dms/
Call for Papers! DEEM: 1st Workshop on Data Management for End-to-End Machine Learning,2017-01-13T14:53:29+00:00,['Joseph Spisak'],https://aws.amazon.com/blogs/big-data/call-for-papers-deem-1st-workshop-on-data-management-for-end-to-end-machine-learning/
Create a Healthcare Data Hub with AWS and Mirth Connect,2017-01-12T16:47:33+00:00,['Joseph Fontes'],https://aws.amazon.com/blogs/big-data/create-a-healthcare-data-hub-with-aws-and-mirth-connect/
Decreasing Game Churn: How Upopa used ironSource Atom and Amazon ML to Engage Users,2017-01-04T12:10:47+00:00,['Tom Talpir'],https://aws.amazon.com/blogs/big-data/decreasing-game-churn-how-upopa-used-ironsource-atom-and-amazon-ml-to-engage-users/
Month in Review: December 2016,2017-01-03T14:48:50+00:00,['Derek Young'],https://aws.amazon.com/blogs/big-data/month-in-review-december-2016/
Powering Amazon Redshift Analytics with Apache Spark and Amazon Machine Learning,2016-12-30T10:58:48+00:00,"['Radhika Ravirala', 'Wangechi Doble']",https://aws.amazon.com/blogs/big-data/powering-amazon-redshift-analytics-with-apache-spark-and-amazon-machine-learning/
Serving Real-Time Machine Learning Predictions on Amazon EMR,2016-12-28T12:22:16+00:00,"['Derek Graeber', 'Guy Ernest']",https://aws.amazon.com/blogs/big-data/serving-real-time-machine-learning-predictions-on-amazon-emr/
"Derive Insights from IoT in Minutes using AWS IoT, Amazon Kinesis Firehose, Amazon Athena, and Amazon QuickSight",2016-12-22T17:22:20+00:00,['Ben Snively'],https://aws.amazon.com/blogs/big-data/derive-insights-from-iot-in-minutes-using-aws-iot-amazon-kinesis-firehose-amazon-athena-and-amazon-quicksight/
Run Jupyter Notebook and JupyterHub on Amazon EMR,2016-12-21T11:51:58+00:00,['Tom Zeng'],https://aws.amazon.com/blogs/big-data/running-jupyter-notebook-and-jupyterhub-on-amazon-emr/
Respond to State Changes on Amazon EMR Clusters with Amazon CloudWatch Events,2016-12-20T16:28:10+00:00,['Jonathan Fritz'],https://aws.amazon.com/blogs/big-data/respond-to-state-changes-on-amazon-emr-clusters-with-amazon-cloudwatch-events/
Building an Event-Based Analytics Pipeline for Amazon Game Studios\xe2\x80\x99 Breakaway,2016-12-15T12:22:59+00:00,['Brent Nash'],https://aws.amazon.com/blogs/big-data/building-an-event-based-analytics-pipeline-for-amazon-game-studios-breakaway/
Using SaltStack to Run Commands in Parallel on Amazon EMR,2016-12-14T12:34:19+00:00,['Miguel Tormo'],https://aws.amazon.com/blogs/big-data/using-saltstack-to-run-commands-in-parallel-on-amazon-emr/
Joining and Enriching Streaming Data on Amazon Kinesis,2016-12-13T12:30:32+00:00,['Assaf Mentzer'],https://aws.amazon.com/blogs/big-data/joining-and-enriching-streaming-data-on-amazon-kinesis/
Amazon Redshift Engineering\xe2\x80\x99s Advanced Table Design Playbook: Table Data Durability,2016-12-08T11:46:49+00:00,['Zach Christopherson'],https://aws.amazon.com/blogs/big-data/amazon-redshift-engineerings-advanced-table-design-playbook-table-data-durability/
Interactive Analysis of Genomic Datasets Using Amazon Athena,2016-12-07T15:28:47+00:00,['Aaron Friedman'],https://aws.amazon.com/blogs/big-data/interactive-analysis-of-genomic-datasets-using-amazon-athena/
Amazon Redshift Engineering\xe2\x80\x99s Advanced Table Design Playbook: Compression Encodings,2016-12-07T15:12:46+00:00,['Zach Christopherson'],https://aws.amazon.com/blogs/big-data/amazon-redshift-engineerings-advanced-table-design-playbook-compression-encodings/
Month in Review: November 2016,2016-12-07T12:09:32+00:00,['Derek Young'],https://aws.amazon.com/blogs/big-data/month-in-review-november-2016/
Amazon Redshift Engineering\xe2\x80\x99s Advanced Table Design Playbook: Compound and Interleaved Sort Keys,2016-12-06T14:14:48+00:00,['Zach Christopherson'],https://aws.amazon.com/blogs/big-data/amazon-redshift-engineerings-advanced-table-design-playbook-compound-and-interleaved-sort-keys/
